R_fighter,B_fighter,R_odds,B_odds,date,City,State/Province,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,height_dif,reach_dif,age_dif,Finish2,finish,finish_details,finish_round,finish_round_time
Anthony Pettis,Alex Morono,-210,175,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,180.34,182.88,170,Orthodox,177.8,182.88,155,33,30,2.54,0,-3,U-DEC,U-DEC,N/A,3,5:00
Christos Giagos,Carlton Minus,-345,285,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Catch Weight,MALE,3,Orthodox,177.8,190.5,170,Orthodox,177.8,180.34,155,30,27,0,10.16,-3,U-DEC,U-DEC,N/A,3,5:00
Deron Winn,Antonio Arroyo,160,-185,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Catch Weight,MALE,3,Orthodox,190.5,185.42,185,Orthodox,167.64,177.8,185,31,31,22.86,7.62,0,U-DEC,U-DEC,N/A,3,5:00
Gillian Robertson,Taila Santos,-145,125,12/19/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Flyweight,FEMALE,3,Orthodox,165.1,160.02,125,Orthodox,167.64,172.72,125,27,25,-2.54,-12.7,-2,U-DEC,U-DEC,N/A,3,5:00
Jimmy Flick,Cody Durden,-157,137,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Flyweight,MALE,3,Southpaw,170.18,170.18,125,Orthodox,170.18,172.72,125,30,29,0,-2.54,-1,SUB,SUB,Triangle choke,1,3:18
Jose Aldo,Marlon Vera,-140,120,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Switch,172.72,177.8,135,Orthodox,170.18,177.8,135,34,28,2.54,0,-6,U-DEC,U-DEC,N/A,3,5:00
Marcin Tybura,Greg Hardy,-110,-110,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Heavyweight,MALE,3,Orthodox,195.58,203.2,265,Orthodox,190.5,198.12,249,35,32,5.08,5.08,-3,KO/TKO,KO/TKO,Punches,2,4:31
Marlon Moraes,Rob Font,-170,150,12/19/2020,Las Vegas,Nevada,USA,Blue,FALSE,Bantamweight,MALE,3,Orthodox,167.64,170.18,135,Orthodox,172.72,180.34,135,33,32,-5.08,-10.16,-1,KO/TKO,KO/TKO,Punches,1,3:47
Michel Pereira,Khaos Williams,105,-125,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,182.88,195.58,170,Orthodox,185.42,185.42,170,27,26,-2.54,10.16,-1,U-DEC,U-DEC,N/A,3,5:00
Sijara Eubanks,Pannie Kianzad,-140,120,12/19/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,Orthodox,162.56,170.18,135,Orthodox,170.18,167.64,135,29,35,-7.62,2.54,6,U-DEC,U-DEC,N/A,3,5:00
Stephen Thompson,Geoff Neal,-103,-117,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,5,Southpaw,180.34,190.5,170,Orthodox,182.88,190.5,170,37,30,-2.54,0,-7,U-DEC,U-DEC,N/A,3,5:00
Tafon Nchukwi,Jamie Pickett,-335,275,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Orthodox,187.96,203.2,185,Orthodox,182.88,195.58,205,26,32,5.08,7.62,6,U-DEC,U-DEC,N/A,3,5:00
Chase Hooper,Peter Barrett,-310,255,12/12/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Southpaw,177.8,185.42,145,Southpaw,185.42,187.96,145,21,34,-7.62,-2.54,13,SUB,SUB,Heel Hook,3,3:02
Cub Swanson,Daniel Pineda,132,-152,12/12/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Orthodox,170.18,175.26,145,Orthodox,172.72,177.8,145,37,35,-2.54,-2.54,-2,KO/TKO,KO/TKO,Right straight,2,1:52
Gavin Tucker,Billy Quarantillo,165,-190,12/12/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Orthodox,177.8,177.8,145,Southpaw,167.64,167.64,145,34,32,10.16,10.16,-2,U-DEC,U-DEC,N/A,3,5:00
Junior Dos Santos,Ciryl Gane,325,-400,12/12/2020,Las Vegas,Nevada,USA,Blue,FALSE,Heavyweight,MALE,3,Orthodox,193.04,195.58,238,Orthodox,193.04,205.74,245,30,36,0,-10.16,6,KO/TKO,KO/TKO,Elbows and punches,2,2:34
Kevin Holland,Jacare Souza,-135,115,12/12/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Orthodox,185.42,182.88,185,Orthodox,190.5,205.74,185,28,41,-5.08,-22.86,13,KO/TKO,KO/TKO,Seated right hook,1,1:45
Mackenzie Dern,Virna Jandiroba,-160,140,12/12/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Strawweight,FEMALE,3,Orthodox,160.02,162.56,115,Orthodox,162.56,160.02,115,27,32,-2.54,2.54,5,U-DEC,U-DEC,N/A,3,5:00
Renato Moicano,Rafael Fiziev,120,-140,12/12/2020,Las Vegas,Nevada,USA,Blue,FALSE,Lightweight,MALE,3,Orthodox,180.34,182.88,155,Switch,172.72,180.34,155,27,31,7.62,2.54,4,KO/TKO,KO/TKO,Left hook,1,4:05
Tecia Torres,Sam Hughes,-550,425,12/12/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Strawweight,FEMALE,3,Orthodox,165.1,162.56,115,Orthodox,154.94,152.4,115,31,28,10.16,10.16,-3,KO/TKO,KO/TKO,Punches,1,5:00
Tony Ferguson,Charles Oliveira,-185,160,12/12/2020,Las Vegas,Nevada,USA,Blue,FALSE,Lightweight,MALE,3,Orthodox,180.34,193.04,155,Orthodox,177.8,187.96,155,31,36,2.54,5.08,5,U-DEC,U-DEC,N/A,3,5:00
Gabriel Benitez,Justin Jaynes,-215,170,12/5/2020,Las Vegas,Nevada,USA,Red,FALSE,Lightweight,MALE,3,Orthodox,170.18,172.72,155,Southpaw,172.72,180.34,155,32,31,-2.54,-7.62,-1,KO/TKO,KO/TKO,Knee and punches,1,4:06
Gian Villante,Jake Collier,-200,160,12/5/2020,Las Vegas,Nevada,USA,Blue,FALSE,Heavyweight,MALE,3,Orthodox,190.5,198.12,230,Orthodox,190.5,193.04,230,35,32,0,5.08,-3,U-DEC,U-DEC,N/A,3,5:00
Ilia Topuria,Damon Jackson,-275,210,12/5/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Switch,180.34,180.34,145,Orthodox,170.18,175.26,145,23,32,10.16,5.08,9,KO/TKO,KO/TKO,Punches,1,2:38
Jack Hermansson,Marvin Vettori,110,-134,12/5/2020,Las Vegas,Nevada,USA,Blue,FALSE,Middleweight,MALE,5,Southpaw,182.88,187.96,185,Orthodox,185.42,195.58,185,32,27,-2.54,-7.62,-5,U-DEC,U-DEC,N/A,3,5:00
Louis Smolka,Jose Quinonez,-139,112,12/5/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Southpaw,172.72,175.26,135,Orthodox,175.26,172.72,135,29,30,-2.54,2.54,1,KO/TKO,KO/TKO,Ground and pound,2,2:15
Matt Wiman,Jordan Leavitt,310,-420,12/5/2020,Las Vegas,Nevada,USA,Blue,FALSE,Lightweight,MALE,3,Southpaw,175.26,180.34,155,Orthodox,177.8,172.72,155,37,25,-2.54,7.62,-12,KO/TKO,KO/TKO,Slam,1,0:22
Ovince Saint Preux,Jamahal Hill,140,-177,12/5/2020,Las Vegas,Nevada,USA,Blue,FALSE,Light Heavyweight,MALE,3,Southpaw,193.04,200.66,205,Southpaw,190.5,203.2,205,37,29,2.54,-2.54,-8,KO/TKO,KO/TKO,Punches,1,3:37
Roman Dolidze,John Allan,-200,160,12/5/2020,Las Vegas,Nevada,USA,Red,FALSE,Light Heavyweight,MALE,3,Orthodox,185.42,190.5,205,Orthodox,187.96,193.04,205,32,27,-2.54,-2.54,-5,S-DEC,S-DEC,N/A,3,5:00
Anthony Smith,Devin Clark,-139,115,11/28/2020,Las Vegas,Nevada,USA,Red,FALSE,Light Heavyweight,MALE,5,Orthodox,182.88,190.5,205,Orthodox,193.04,193.04,205,32,30,-10.16,-2.54,-2,SUB,SUB,Triangle choke,1,2:34
Ashlee Evans-Smith,Norma Dumont,-137,110,11/28/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,Orthodox,170.18,170.18,135,Orthodox,172.72,170.18,135,33,30,-2.54,0,-3,U-DEC,U-DEC,N/A,3,5:00
Gina Mazany,Rachael Ostovich,-200,160,11/28/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Flyweight,FEMALE,3,Orthodox,160.02,157.48,125,Southpaw,167.64,172.72,125,32,29,-7.62,-15.24,-3,KO/TKO,KO/TKO,Kick,3,4:10
Jonathan Pearce,Kai Kamaka,245,-335,11/28/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Orthodox,170.18,175.26,145,Switch,182.88,180.34,145,28,25,-12.7,-5.08,-3,KO/TKO,KO/TKO,Strikes,2,4:28
Josh Parisian,Parker Porter,-200,160,11/28/2020,Las Vegas,Nevada,USA,Blue,FALSE,Heavyweight,MALE,3,Orthodox,182.88,190.5,265,Orthodox,193.04,200.66,265,31,35,-10.16,-10.16,4,U-DEC,U-DEC,N/A,3,5:00
Luke Sanders,Nate Maness,-155,125,11/28/2020,Las Vegas,Nevada,USA,Blue,FALSE,Catch Weight,MALE,3,Orthodox,177.8,182.88,135,Southpaw,167.64,170.18,135,34,29,10.16,12.7,-5,SUB,SUB,Rear naked choke,2,2:29
Martin Day,Anderson Dos Santos,-167,135,11/28/2020,Las Vegas,Nevada,USA,Blue,FALSE,Bantamweight,MALE,3,Orthodox,165.1,177.8,135,Orthodox,177.8,185.42,135,32,35,-12.7,-7.62,3,SUB,SUB,Guillotine choke,1,4:35
Miguel Baeza,Takashi Sato,-175,140,11/28/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Southpaw,177.8,185.42,170,Orthodox,187.96,187.96,170,28,30,-10.16,-2.54,2,SUB,SUB,Arm triangle ,2,4:28
Spike Carlyle,Bill Algeo,-177,140,11/28/2020,Las Vegas,Nevada,USA,Blue,FALSE,Featherweight,MALE,3,Switch,182.88,185.42,145,Switch,172.72,180.34,145,27,31,10.16,5.08,4,U-DEC,U-DEC,N/A,3,5:00
Su Mudaerji,Malcolm Gordon,-335,250,11/28/2020,Las Vegas,Nevada,USA,Red,FALSE,Flyweight,MALE,3,Switch,170.18,180.34,125,Southpaw,172.72,182.88,125,24,30,-2.54,-2.54,6,KO/TKO,KO/TKO,Strikes,1,0:44
Alan Jouban,Jared Gooden,-150,120,11/21/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,182.88,195.58,170,Southpaw,182.88,185.42,170,38,26,0,10.16,-12,U-DEC,U-DEC,N/A,3,5:00
Antonina Shevchenko,Ariane Lipski,-167,130,11/21/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Flyweight,FEMALE,3,Orthodox,167.64,170.18,125,Southpaw,172.72,170.18,125,36,26,-5.08,0,-10,KO/TKO,KO/TKO,Punches,2,4:33
Brandon Moreno,Brandon Royval,-190,150,11/21/2020,Las Vegas,Nevada,USA,Red,FALSE,Flyweight,MALE,3,Southpaw,175.26,172.72,125,Orthodox,170.18,177.8,125,26,28,5.08,-5.08,2,KO/TKO,KO/TKO,Ground and pound,3,4:59
Daniel Rodriguez,Nicolas Dalby,-335,250,11/21/2020,Las Vegas,Nevada,USA,Blue,FALSE,Welterweight,MALE,3,Orthodox,180.34,187.96,170,Southpaw,185.42,187.96,170,33,36,-5.08,0,3,U-DEC,U-DEC,N/A,3,5:00
Deiveson Figueiredo,Alex Perez,-286,225,11/21/2020,Las Vegas,Nevada,USA,Red,FALSE,Flyweight,MALE,5,Orthodox,167.64,165.1,125,Orthodox,165.1,172.72,125,32,28,2.54,-7.62,-4,SUB,SUB,Guillotine,1,1:57
Joaquin Buckley,Jordan Wright,-265,205,11/21/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Orthodox,187.96,195.58,205,Southpaw,177.8,193.04,185,26,29,10.16,2.54,3,KO/TKO,KO/TKO,Left hook,2,0:18
Katlyn Chookagian,Cynthia Calvillo,205,-265,11/21/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Flyweight,FEMALE,3,Orthodox,162.56,162.56,125,Orthodox,175.26,172.72,125,31,33,-12.7,-10.16,2,U-DEC,U-DEC,N/A,3,5:00
Kyle Daukaus,Dustin Stoltzfus,-315,230,11/21/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Orthodox,182.88,190.5,185,Southpaw,190.5,193.04,185,27,29,-7.62,-2.54,2,U-DEC,U-DEC,N/A,3,5:00
Louis Cosce,Sasha Palatnikov,-455,325,11/21/2020,Las Vegas,Nevada,USA,Blue,FALSE,Welterweight,MALE,3,Switch,185.42,182.88,170,Orthodox,175.26,180.34,170,25,31,10.16,2.54,6,KO/TKO,KO/TKO,Punches,3,2:47
Mauricio Rua,Paul Craig,150,-190,11/21/2020,Las Vegas,Nevada,USA,Blue,FALSE,Light Heavyweight,MALE,3,Orthodox,190.5,193.04,205,Orthodox,185.42,193.04,205,38,32,5.08,0,-6,KO/TKO,KO/TKO,Punches,2,3:36
Mike Perry,Tim Means,-150,120,11/21/2020,Las Vegas,Nevada,USA,Blue,FALSE,Welterweight,MALE,3,Orthodox,187.96,190.5,170,Orthodox,177.8,180.34,170,29,36,10.16,10.16,7,U-DEC,U-DEC,N/A,3,5:00
Valentina Shevchenko,Jennifer Maia,-1667,850,11/21/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Flyweight,FEMALE,3,Orthodox,162.56,162.56,125,Southpaw,165.1,167.64,125,32,32,-2.54,-5.08,0,U-DEC,U-DEC,N/A,3,5:00
Abdul Razak Alhassan,Khaos Williams,-240,185,11/14/2020,Las Vegas,Nevada,USA,Blue,FALSE,Welterweight,MALE,3,Orthodox,182.88,195.58,170,Orthodox,177.8,185.42,170,35,26,5.08,10.16,-9,KO/TKO,KO/TKO,Right straight,1,0:30
Alex Morono,Rhys McKee,-177,140,11/14/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,187.96,198.12,170,Orthodox,180.34,182.88,170,30,25,7.62,15.24,-5,U-DEC,U-DEC,N/A,3,5:00
Ashley Yoder,Miranda Granger,135,-167,11/14/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Strawweight,FEMALE,3,Orthodox,170.18,172.72,125,Southpaw,170.18,175.26,115,33,28,0,-2.54,-5,U-DEC,U-DEC,N/A,3,5:00
Brendan Allen,Sean Strickland,-118,-106,11/14/2020,Las Vegas,Nevada,USA,Blue,FALSE,Catch Weight,MALE,3,Orthodox,185.42,193.04,185,Orthodox,187.96,190.5,185,24,29,-2.54,2.54,5,KO/TKO,KO/TKO,Punches,2,1:32
Don'Tale Mayes,Roque Martinez,-265,205,11/14/2020,Las Vegas,Nevada,USA,Red,FALSE,Heavyweight,MALE,3,Orthodox,177.8,182.88,250,Orthodox,198.12,205.74,260,28,34,-20.32,-22.86,6,U-DEC,U-DEC,N/A,3,5:00
Geraldo de Freitas,Tony Gravely,117,-148,11/14/2020,Las Vegas,Nevada,USA,Blue,FALSE,Bantamweight,MALE,3,Orthodox,165.1,175.26,135,Orthodox,170.18,182.88,135,29,29,-5.08,-7.62,0,S-DEC,S-DEC,N/A,3,5:00
Kay Hansen,Cory McKenna,-230,180,11/14/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Strawweight,FEMALE,3,Orthodox,160.02,147.32,115,Orthodox,157.48,160.02,115,21,21,2.54,-12.7,0,U-DEC,U-DEC,N/A,3,5:00
Paul Felder,Rafael Dos Anjos,165,-200,11/14/2020,Las Vegas,Nevada,USA,Blue,FALSE,Lightweight,MALE,5,Southpaw,172.72,177.8,155,Orthodox,180.34,177.8,155,36,36,-7.62,0,0,S-DEC,S-DEC,N/A,3,5:00
Randa Markos,Kanako Murata,155,-200,11/14/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Strawweight,FEMALE,3,Orthodox,154.94,157.48,115,Orthodox,162.56,160.02,115,35,27,-7.62,-2.54,-8,U-DEC,U-DEC,N/A,3,5:00
Alexander Romanov,Marcos Rogerio de Lima,-455,330,11/7/2020,Las Vegas,Nevada,USA,Red,FALSE,Heavyweight,MALE,3,Orthodox,185.42,190.5,253,Southpaw,187.96,190.5,262,29,35,-2.54,0,6,SUB,SUB,Forearm choke,1,4:48
Andrei Arlovski,Tanner Boser,235,-305,11/7/2020,Las Vegas,Nevada,USA,Red,FALSE,Heavyweight,MALE,3,Orthodox,187.96,190.5,255,Orthodox,190.5,195.58,240,41,29,-2.54,-5.08,-12,U-DEC,U-DEC,N/A,3,5:00
Claudia Gadelha,Yan Xiaonan,125,-155,11/7/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Strawweight,FEMALE,3,Orthodox,165.1,160.02,115,Orthodox,162.56,160.02,115,31,31,2.54,0,0,U-DEC,U-DEC,N/A,3,5:00
Darren Elkins,Eduardo Garagorri,-240,185,11/7/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Orthodox,175.26,177.8,145,Orthodox,177.8,180.34,145,36,31,-2.54,-2.54,-5,SUB,SUB,Rear naked choke,3,2:22
Giga Chikadze,Jamey Simmons,-835,525,11/7/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Orthodox,165.1,165.1,145,Orthodox,182.88,187.96,145,32,28,-17.78,-22.86,-4,KO/TKO,KO/TKO,Head kick and punches,1,3:51
Gustavo Lopez,Anthony Birchak,-134,108,11/7/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Orthodox,172.72,175.26,135,Orthodox,165.1,170.18,135,31,34,7.62,5.08,3,SUB,SUB,Rear naked choke,1,2:43
Max Griffin,Ramiz Brahimaj,-143,115,11/7/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,177.8,185.42,170,Orthodox,180.34,193.04,170,34,27,-2.54,-7.62,-7,KO/TKO,KO/TKO,Injury,3,2:03
Raoni Barcelos,Khalid Taha,-400,295,11/7/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Orthodox,165.1,175.26,135,Orthodox,170.18,170.18,135,33,28,-5.08,5.08,-5,U-DEC,U-DEC,N/A,3,5:00
Thiago Santos,Glover Teixeira,-240,190,11/7/2020,Las Vegas,Nevada,USA,Blue,FALSE,Light Heavyweight,MALE,5,Orthodox,187.96,193.04,205,Orthodox,187.96,193.04,205,36,41,0,0,5,SUB,SUB,Rear naked choke,3,1:49
Trevin Giles,Bevon Lewis,100,-125,11/7/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Orthodox,190.5,200.66,185,Orthodox,182.88,187.96,185,28,29,7.62,12.7,1,KO/TKO,KO/TKO,Punches,3,1:26
Adrian Yanez,Victor Rodriguez,-500,356,10/31/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Switch,165.1,165.1,135,Orthodox,170.18,177.8,135,26,28,-5.08,-12.7,2,KO/TKO,KO/TKO,Head kick,1,2:46
Bobby Green,Thiago Moises,-335,245,10/31/2020,Las Vegas,Nevada,USA,Blue,FALSE,Lightweight,MALE,3,Orthodox,175.26,177.8,155,Orthodox,177.8,180.34,155,34,25,-2.54,-2.54,-9,U-DEC,U-DEC,N/A,3,5:00
Bryce Mitchell,Andre Fili,-150,120,10/31/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Orthodox,180.34,187.96,145,Southpaw,177.8,177.8,145,26,30,2.54,10.16,4,U-DEC,U-DEC,N/A,3,5:00
Chris Gruetzemacher,Alexander Hernandez,315,-435,10/31/2020,Las Vegas,Nevada,USA,Blue,FALSE,Lightweight,MALE,3,Orthodox,175.26,182.88,155,Orthodox,172.72,172.72,155,34,28,2.54,10.16,-6,KO/TKO,KO/TKO,Left hook,1,1:46
Cole Williams,Jason Witt,119,-148,10/31/2020,Las Vegas,Nevada,USA,Blue,FALSE,Welterweight,MALE,3,Orthodox,177.8,177.8,170,Orthodox,182.88,185.42,170,36,33,-5.08,-7.62,-3,SUB,SUB,Arm triangle ,2,2:09
Dustin Jacoby,Justin Ledet,-400,296,10/31/2020,Las Vegas,Nevada,USA,Red,FALSE,Light Heavyweight,MALE,3,Orthodox,193.04,203.2,205,Orthodox,190.5,193.04,205,32,32,2.54,10.16,0,KO/TKO,KO/TKO,Punches,1,2:38
Kevin Holland,Charlie Ontiveros,-770,500,10/31/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Switch,187.96,198.12,185,Orthodox,190.5,205.74,170,27,29,-2.54,-7.62,2,SUB,SUB,Verbal submission,1,2:39
Maurice Greene,Greg Hardy,250,-335,10/31/2020,Las Vegas,Nevada,USA,Blue,FALSE,Heavyweight,MALE,3,Orthodox,195.58,203.2,265,Orthodox,200.66,203.2,258,34,32,-5.08,0,-2,KO/TKO,KO/TKO,Punches,2,1:12
Miles Johns,Kevin Natividad,-165,131,10/31/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Orthodox,167.64,177.8,145,Orthodox,170.18,167.64,135,26,27,-2.54,10.16,1,KO/TKO,KO/TKO,Punches,3,2:51
Sean Strickland,Jack Marshman,-375,277,10/31/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Orthodox,182.88,185.42,185,Orthodox,185.42,193.04,170,29,30,-2.54,-7.62,1,U-DEC,U-DEC,N/A,3,5:00
Uriah Hall,Anderson Silva,-230,185,10/31/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,5,Southpaw,187.96,195.58,185,Orthodox,182.88,200.66,185,36,45,5.08,-5.08,9,KO/TKO,KO/TKO,Punches,4,1:24
Alex Oliveira,Shavkat Rakhmonov,-112,-112,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,Orthodox,185.42,195.58,170,Orthodox,180.34,193.04,170,32,26,5.08,2.54,-6,SUB,SUB,Guillotine,1,4:40
Alexander Volkov,Walt Harris,-190,150,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Heavyweight,MALE,3,Southpaw,195.58,195.58,250,Orthodox,200.66,203.2,250,32,37,-5.08,-7.62,5,KO/TKO,KO/TKO,Body kick and punches,2,1:15
Jacob Malkoun,Phillip Hawes,195,-250,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Middleweight,MALE,3,Orthodox,182.88,195.58,185,Orthodox,175.26,185.42,185,25,31,7.62,10.16,6,KO/TKO,KO/TKO,Punches,1,0:18
Joel Alvarez,Alexander Yakovlev,-175,138,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Lightweight,MALE,3,Southpaw,190.5,187.96,155,Orthodox,190.5,195.58,155,26,36,0,-7.62,10,SUB,SUB,Armbar,1,3:00
Khabib Nurmagomedov,Justin Gaethje,-315,255,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,TRUE,Lightweight,MALE,5,Orthodox,180.34,177.8,155,Orthodox,177.8,177.8,155,32,31,2.54,0,-1,SUB,SUB,Triangle choke,2,1:34
Lauren Murphy,Liliya Shakirova,-215,170,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Women's Flyweight,FEMALE,3,Orthodox,162.56,165.1,125,Orthodox,165.1,170.18,125,37,29,-2.54,-5.08,-8,SUB,SUB,Rear naked choke,2,3:31
Liana Jojua,Miranda Maverick,295,-400,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,Southpaw,160.02,165.1,125,Orthodox,162.56,157.48,125,25,23,-2.54,7.62,-2,KO/TKO,KO/TKO,Elbows,1,5:00
Magomed Ankalaev,Ion Cutelaba,-335,250,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,Southpaw,185.42,190.5,205,Orthodox,190.5,190.5,205,28,26,-5.08,0,-2,KO/TKO,KO/TKO,Left hook and punches,1,4:19
Nathaniel Wood,Casey Kenney,140,-177,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Catch Weight,MALE,3,Southpaw,170.18,172.72,140,Orthodox,167.64,175.26,140,27,29,2.54,-2.54,2,U-DEC,U-DEC,N/A,3,5:00
Robert Whittaker,Jared Cannonier,-110,-110,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Middleweight,MALE,3,Switch,180.34,195.58,185,Orthodox,182.88,185.42,185,29,36,-2.54,10.16,7,U-DEC,U-DEC,N/A,3,5:00
Stefan Struve,Tai Tuivasa,-112,-112,10/24/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Heavyweight,MALE,3,Southpaw,187.96,190.5,264,Orthodox,210.82,213.36,265,32,27,-22.86,-22.86,-5,KO/TKO,KO/TKO,Uppercut,1,4:49
Brian Ortega,Chan Sung Jung,160,-200,10/17/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Featherweight,MALE,5,Orthodox,170.18,182.88,145,Switch,172.72,175.26,145,29,33,-2.54,7.62,4,U-DEC,U-DEC,N/A,3,5:00
Claudio Silva,James Krause,120,-150,10/17/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,Orthodox,187.96,185.42,170,Southpaw,180.34,180.34,170,38,34,7.62,5.08,-4,U-DEC,U-DEC,N/A,3,5:00
Gadzhimurad Antigulov,Maxim Grishin,277,-375,10/17/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Light Heavyweight,MALE,3,Orthodox,190.5,198.12,220,Orthodox,180.34,177.8,205,33,36,10.16,20.32,3,KO/TKO,KO/TKO,Punches,2,4:58
Gillian Robertson,Poliana Botelho,-215,169,10/17/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Women's Flyweight,FEMALE,3,Orthodox,172.72,170.18,115,Orthodox,165.1,160.02,125,25,31,7.62,10.16,6,U-DEC,U-DEC,N/A,3,5:00
Jamie Mullarkey,Fares Ziam,-137,110,10/17/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Lightweight,MALE,3,Orthodox,185.42,190.5,155,Orthodox,182.88,187.96,155,26,23,2.54,2.54,-3,U-DEC,U-DEC,N/A,3,5:00
Jimmy Crute,Modestas Bukauskas,-335,250,10/17/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,Switch,190.5,198.12,205,Orthodox,187.96,187.96,205,24,26,2.54,10.16,2,KO/TKO,KO/TKO,Punches,1,2:01
Junyong Park,John Phillips,-278,215,10/17/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Middleweight,MALE,3,Southpaw,180.34,190.5,185,Orthodox,177.8,185.42,185,29,35,2.54,5.08,6,U-DEC,U-DEC,N/A,3,5:00
